mealID,name,description,categoryName,allergens,preferences,nutritionals,servingSize,servingSizeUOM,calories,fat,caloriesFromFat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,dietaryFiber,sugars,addedSugar,protein

16472,Breakfast Bowl with Sausage,"Scrambled eggs topped with sausage, home fries, cheddar cheese and fresh chives.",Breakfast,"Soy,Dairy,Egg",Gluten Sensitive,"{'id': 230891, 'servingSize': '6.00', 'servingSizeUOM': 'oz', 'calories': '335', 'fat': '27', 'caloriesFromFat': '335', 'saturatedFat': '9', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '286', 'sodium': '670', 'carbohydrates': '9', 'dietaryFiber': '1', 'sugars': '2', 'addedSugar': '0', 'protein': '15', 'corporateProductId': 5012}",6.0,oz,335.0,27.0,335.0,9.0,0.0,286.0,670.0,9.0,1.0,2.0,0.0,15.0

20985,Caramelized Onions (Oil),,Misc,,"Vegan,Gluten Sensitive,Vegetarian","{'id': 233706, 'servingSize': '1.02', 'servingSizeUOM': 'oz', 'calories': '68', 'fat': '3', 'caloriesFromFat': '68', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '5', 'carbohydrates': '11', 'dietaryFiber': '2', 'sugars': '5', 'addedSugar': '0', 'protein': '1', 'corporateProductId': 6637}",1.02,oz,68.0,3.0,68.0,0.0,0.0,0.0,5.0,11.0,2.0,5.0,0.0,1.0

15890,Home Fry Potatoes,Crispy seasoned diced breakfast potatoes.,Breakfast,"Soy,Dairy","Gluten Sensitive,Vegetarian","{'id': 233526, 'servingSize': '4.00', 'servingSizeUOM': 'oz', 'calories': '149', 'fat': '7', 'caloriesFromFat': '149', 'saturatedFat': '3', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '596', 'carbohydrates': '19', 'dietaryFiber': '2', 'sugars': '1', 'addedSugar': '0', 'protein': '2', 'corporateProductId': 4510}",4.0,oz,149.0,7.0,149.0,3.0,0.0,0.0,596.0,19.0,2.0,1.0,0.0,2.0

19875,Pork Sausage Link,Pork breakfast sausage link.,Breakfast,,Gluten Sensitive,"{'id': 228338, 'servingSize': '0.80', 'servingSizeUOM': 'oz', 'calories': '130', 'fat': '13', 'caloriesFromFat': '130', 'saturatedFat': '5', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '21', 'sodium': '170', 'carbohydrates': '1', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '3', 'corporateProductId': 6081}",0.8,oz,130.0,13.0,130.0,5.0,0.0,21.0,170.0,1.0,0.0,0.0,0.0,3.0

19611,Sauteed Spinach,Saut�ed baby spinach with minced onion and garlic seasoned with salt and pepper.,Misc,,"Vegan,Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 231288, 'servingSize': '2.38', 'servingSizeUOM': 'oz', 'calories': '61', 'fat': '5', 'caloriesFromFat': '61', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '61', 'carbohydrates': '3', 'dietaryFiber': '2', 'sugars': '0', 'addedSugar': '0', 'protein': '2', 'corporateProductId': 6003}",2.38,oz,61.0,5.0,61.0,0.0,0.0,0.0,61.0,3.0,2.0,0.0,0.0,2.0

19874,Scrambled Eggs,Scrambled eggs.,Breakfast,Egg,"Gluten Sensitive,Vegetarian","{'id': 233482, 'servingSize': '3.60', 'servingSizeUOM': 'oz', 'calories': '173', 'fat': '11', 'caloriesFromFat': '173', 'saturatedFat': '4', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '419', 'sodium': '160', 'carbohydrates': '0', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '15', 'corporateProductId': 6080}",3.6,oz,173.0,11.0,173.0,4.0,0.0,419.0,160.0,0.0,0.0,0.0,0.0,15.0

16588,Scrambled Tofu,"Crumbled and sauteed tofu seasoned with turmeric, salt and pepper.",Breakfast,Soy,"Vegan,Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 233684, 'servingSize': '4.00', 'servingSizeUOM': 'oz', 'calories': '173', 'fat': '13', 'caloriesFromFat': '173', 'saturatedFat': '1', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '288', 'carbohydrates': '4', 'dietaryFiber': '3', 'sugars': '0', 'addedSugar': '0', 'protein': '11', 'corporateProductId': 5103}",4.0,oz,173.0,13.0,173.0,1.0,0.0,0.0,288.0,4.0,3.0,0.0,0.0,11.0

22523,Waffles Diana with Blueberries,Egg Battered Waffles topped with blueberries and whipped topping.,Breakfast,"Soy,Tree Nut,Dairy,Egg,Wheat",,"{'id': 229414, 'servingSize': '6.74', 'servingSizeUOM': 'oz', 'calories': '329', 'fat': '12', 'caloriesFromFat': '329', 'saturatedFat': '5', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '81', 'sodium': '657', 'carbohydrates': '47', 'dietaryFiber': '3', 'sugars': '17', 'addedSugar': '10', 'protein': '9', 'corporateProductId': 7008}",6.74,oz,329.0,12.0,329.0,5.0,0.0,81.0,657.0,47.0,3.0,17.0,10.0,9.0

26843,MTO Fruit and Yogurt Bar,,MTO Bars,Dairy,,"{'id': 209026, 'servingSize': '9.80', 'servingSizeUOM': 'oz', 'calories': '227', 'fat': '4', 'caloriesFromFat': '227', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '4', 'sodium': '48', 'carbohydrates': '39', 'dietaryFiber': '3', 'sugars': '31', 'addedSugar': '3', 'protein': '12', 'corporateProductId': 8235}",9.8,oz,227.0,4.0,227.0,0.0,0.0,4.0,48.0,39.0,3.0,31.0,3.0,12.0

19784,Cream of Wheat,Wheat breakfast porridge.,Breakfast,Wheat,"Vegan,Vegetarian","{'id': 231695, 'servingSize': '6.00', 'servingSizeUOM': 'oz', 'calories': '127', 'fat': '0', 'caloriesFromFat': '127', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '0', 'carbohydrates': '27', 'dietaryFiber': '1', 'sugars': '0', 'addedSugar': '0', 'protein': '4', 'corporateProductId': 6056}",6.0,oz,127.0,0.0,127.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,4.0

15840,Hard Boiled Eggs,Boiled whole eggs.,Breakfast,Egg,"Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 231265, 'servingSize': '1.50', 'servingSizeUOM': 'oz', 'calories': '61', 'fat': '4', 'caloriesFromFat': '61', 'saturatedFat': '1', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '158', 'sodium': '60', 'carbohydrates': '0', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '5', 'corporateProductId': 4460}",1.5,oz,61.0,4.0,61.0,1.0,0.0,158.0,60.0,0.0,0.0,0.0,0.0,5.0

19949,Steamed White Rice,White rice steamed and seasoned with black pepper.,Misc,,"Vegan,Gluten Sensitive,Vegetarian","{'id': 226559, 'servingSize': '3.09', 'servingSizeUOM': 'oz', 'calories': '112', 'fat': '0', 'caloriesFromFat': '112', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '0', 'carbohydrates': '25', 'dietaryFiber': '1', 'sugars': '0', 'addedSugar': '0', 'protein': '3', 'corporateProductId': 6124}",3.09,oz,112.0,0.0,112.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,3.0

15836,Bacon,Freshly cooked bacon.,Breakfast,,Gluten Sensitive,"{'id': 228279, 'servingSize': '0.40', 'servingSizeUOM': 'oz', 'calories': '60', 'fat': '5', 'caloriesFromFat': '60', 'saturatedFat': '2', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '11', 'sodium': '204', 'carbohydrates': '0', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '5', 'corporateProductId': 4456}",0.4,oz,60.0,5.0,60.0,2.0,0.0,11.0,204.0,0.0,0.0,0.0,0.0,5.0

